ID	Cond	p.LT	p.GR	p.FOD
C0054	MG1655.MD004.O2-starvation.na_WT	4.01074	0.1563	0.45873
C0055	MG1655.MD004.O2-starvation.b4401_KO	2.60037	0.11849	0.7034	
C0056	BW25113.MD066.none.b0756_KO	0.837406667	0.097059231	0.413003333
C0057	BW25113.MD066.none.b2388_KO	0.925555	0.110504666	0.421223333
C0058	BW25113.MD066.none.b0688_KO	0.484813333	0.082491611	0.36233
C0059	BW25113.MD066.none.b4025_KO	0.572961667	0.051962403	0.565886667
C0060	BW25113.MD066.none.b3916_KO	0.925555	0.027731103	0.481553333
C0061	BW25113.MD066.none.b1723_KO	0.837406667	0.103781949	0.45189
C0062	BW25113.MD066.none.b4232_KO	0.749258333	0.102798329	0.449556667
C0063	BW25113.MD066.none.b2097_KO	1.278148333	0.098176466	0.456776667
C0064	BW25113.MD066.none.b1417_KO	0.572961667	0.117227383	0.398666667
C0065	BW25113.MD066.none.b0755_KO	0.66111	0.097899571	0.417776667
C0066	BW25113.MD066.none.b4395_KO	1.278148333	0.115966874	0.408333333
C0067	BW25113.MD066.none.b1854_KO	1.013703333	0.095378552	0.430443333
C0068	BW25113.MD066.none.b1676_KO	0.837406667	0.089076005	0.39467
C0069	BW25113.MD066.none.b1702_KO	0.572961667	0.060222942	0.511446667
C0070	BW25113.MD066.none.b1852_KO	1.542591667	0.0924404	0.417776667
C0071	BW25113.MD066.none.b0767_KO	0.925555	0.08935716	0.40211
C0072	BW25113.MD066.none.b2029_KO	1.101851667	0.097899571	0.35522
C0073	BW25113.MD066.none.b3386_KO	1.983333333	0.073391065	0.337556667
C0074	BW25113.MD066.none.b2914_KO	0.925555	0.073810934	0.423443333
C0075	BW25113.MD066.none.b4090_KO	1.013703333	0.100697491	0.44933
C0076	BW25113.MD066.none.b2935_KO	1.013703333	0.10042059	0.394996667
C0077	BW25113.MD066.none.b2465_KO	1.013703333	0.102941609	0.432666667
C0078	BW25113.MD066.none.b2464_KO	0.749258333	0.131092988	0.45922
C0079	BW25113.MD066.none.b0008_KO	1.278148333	0.104479014	0.43189
C0080	BW25113.MD066.none.na_WT	0.66111	0.10126093	0.430446667
C0082	MG1655.MD001.butanol.na_WT	0.925555	0.07507146	0.523536667
C0083	N3433.MD004.none.na_WT	1.278148333	0.140478975	0.477556667
C0086	NCM3722.MD122.none.na_WT	30.41111167	0.101118072	0.48122
C0089	NCM3722.MD123.none.na_WT	2.159628333	0.136693852	0.953003333
C0090	NCM3722.MD005.none.na_WT	1.101851667	0.192857953	0.512553333
C0091	NCM3722.MD006.none.na_WT	1.013703333	0.100562994	0.60411
C0092	NCM3722.MD007.none.na_WT	2.247778333	0.048319531	0.378776667
C0093	BW25113.MD008.none.na_WT	1.454445	0.171284275	0.74411
C0094	BW25113.MD009.none.na_WT	1.542593333	0.17548762	0.714336667
C0095	BW25113.MD008.none.b0758_KO	1.63074	0.163855766	1.03489
C0096	BW25113.MD009.none.b0758_KO	2.776665	0.156021664	0.831776667
C0097	BW25113.MD008.none.b0759_KO	1.101851667	0.119600388	0.814333333
C0098	BW25113.MD009.none.b0759_KO	7.624813333	0.116252589	0.719336667
C0099	BW25113.MD008.none.b1236_KO	0.925555	0.117079279	0.97133
C0100	BW25113.MD009.none.b1236_KO	13.795185	0.121424029	0.779556667
C0101	NCM3722.MD012.carbon-limitation.na_WT	1.19	0.190059622	0.761003333
C0102	NCM3722.MD012.acetate-shift.na_WT	2.776666667	0.044819516	0.571776667
C0103	NCM3722.MD012.glycerol-shift.na_WT	0.66111	0.088097009	0.858443333
C0104	MG1655.MD010.cold.na_WT	0.572961667	0.198319239	0.79411
C0105	MG1655.MD010.lactate-shift.na_WT	1.38833	0.16828	0.5785
C0107	W3110.MD121.none.na_WT	0.837406667	0.087118013	0.394446667
C0108	MG1655.MD001.thymine-starvation.b2827_KO	1.19	0.11975	0.45867
C0109	DH1.MD001.none.na_WT	4.36334	0.03908	0.36933
C0110	BW25113.MD001.ethanol.na_WT	1.71889	0.14496	0.473
C0111	BW25113.MD001.none.b2741_KO	1.19	0.0958	0.36967
C0112	BW25113.MD001.ethanol.b2741_KO	0.92556	0.10673	0.35367
C0113	MG1655.MD001.heat.na_WT	1.45445	0.08319	0.312
C0114	MC4100.MD002.cold.na_WT	7.80111	0.01765	0.331
C0115	MC4100.MD002.none.na_WT	0.39666	0.06639	0.765
C0116	MG1655.MD003.none.na_WT	3.04111	0.10336	0.68633
C0117	MG1655.MD004.oxidative.na_WT	11.76778	0.17899	0.489
C0118	MG1655.MD004.lactose-shift.na_WT	2.77666	0.12731	0.756
C0119	W3110.MD004.none.na_WT	2.24777	0.11975	0.38
C0120	W3110.MD016.O2-starvation.na_WT	1.98334	0.09117	0.43833
C0121	W3110.MD016.none.na_WT	2.51222	0.1374	0.804
C0122	BW25113.MD018.acidic.na_WT	0.39666	0.11555	1.18067
C0123	BW25113.MD018.none.b2687_KO	0.39666	0.21176	1.18067
C0124	BW25113.MD018.none.b2741_KO	0.39666	0.17395	1.23833
C0125	BW25113.MD018.none.b3261_KO	5.68555	0.15756	1.08967
C0126	BW25113.MD018.acidic.b2903_KO	0.39666	0.13109	1.12133
C0127	BW25113.MD018.none.b3516_KO	0.39666	0.19538	1.29333
C0128	BW25113.MD018.none.b1129_KO	0.39666	0.15252	1.12367
C0129	BW25113.MD018.none.b4132_KO	0.39666	0.16134	1.06067
C0130	BW25113.MD018.none.b1130_KO	0.39666	0.16261	1.166
C0131	BW25113.MD018.acidic.b3706_KO	0.39666	0.07437	1.06833
C0132	BW25113.MD018.acidic.b4131_KO	0.39666	0.16891	1.13033
C0133	BW25113.MD018.none.b3357_KO	0.39666	0.11471	0.89233
C0134	BW25113.MD018.acidic.b0898_KO	0.39666	0.15841	1.26667
C0135	BW25113.MD018.acidic.b1743_KO	0.39666	0.15252	1.21267
C0136	BW25113.MD018.none.b4249_KO	0.39666	0.15504	1.17667
C0137	BW25113.MD018.none.b1205_KO	0.39666	0.21176	1.12467
C0138	CF15199.MD018.none.graL_OE	0.39666	0.15042	1.05967
C0139	BW25113.MD018.acidic.b3510_KO	0.39666	0.18529	1.23933
C0140	BW25113.MD018.acidic.b1129_KO	0.39666	0.11933	1.15667
C0141	BW25113.MD018.acidic.b4117_KO	0.39666	0.12773	1.24333
C0142	BW25113.MD018.acidic.b3516_KO	0.39666	0.16386	1.13867
C0143	BW25113.MD018.none.b1222_KO	0.39666	0.17899	1.094
C0144	BW25113.MD018.none.b3509_KO	0.39666	0.16386	1.10867
C0145	BW25113.MD018.none.b4327_KO	0.39666	0.1979	1.15367
C0146	BW25113.MD018.none.b3706_KO	0.39666	0.12353	1.05033
C0147	BW25113.MD018.none.b4172_KO	0.39666	0.10126	0.66267
C0148	BW25113.MD018.acidic.b3261_KO	0.39666	0.13361	1.23067
C0149	BW25113.MD018.none.b3024_KO	0.39666	0.20546	1.19367
C0150	BW25113.MD018.acidic.b3509_KO	0.39666	0.13655	1.25833
C0151	BW25113.MD018.acidic.b0912_KO	0.39666	0.11051	0.76367
C0152	BW25113.MD018.none.b4131_KO	0.39666	0.21218	1.31067
C0153	BW25113.MD018.acidic.b0727_KO	0.39666	0.11051	0.39567
C0154	BW25113.MD018.acidic.b3515_KO	0.39666	0.16386	1.14067
C0155	BW25113.MD018.acidic.b1020_KO	0.39666	0.15841	1.27067
C0156	BW25113.MD018.acidic.b0726_KO	0.39666	0.0979	0.42667
C0157	BW25113.MD018.none.b3515_KO	0.39666	0.16554	1.25967
C0158	BW25113.MD018.acidic.b1130_KO	0.39666	0.15589	1.23667
C0159	BW25113.MD018.acidic.b1493_KO	0.39666	0.12101	1.14967
C0160	BW25113.MD018.none.b1020_KO	0.39666	0.1563	1.05267
C0161	BW25113.MD018.none.b0727_KO	0.39666	0.13109	0.56767
C0162	BW25113.MD018.none.b0726_KO	0.39666	0.15463	0.446
C0163	BW25113.MD018.none.b0912_KO	0.39666	0.13866	0.84267
C0164	BW25113.MD018.acidic.b4045_KO	0.39666	0.14496	1.17733
C0165	BW25113.MD018.none.b2903_KO	0.39666	0.15504	1.08233
C0166	BW25113.MD018.none.b1916_KO	0.39666	0.19033	1.20967
C0167	BW25113.MD018.none.b3022_KO	0.39666	0.18529	1.10767
C0168	BW25113.MD018.acidic.b1379_KO	0.39666	0.14832	1.24267
C0169	BW25113.MD018.none.b1493_KO	0.39666	0.15756	1.06667
C0170	BW25113.MD018.acidic.b3357_KO	0.39666	0.0958	0.80833
C0171	BW25113.MD018.none.b0114_KO	0.39666	0.17732	1.101
C0172	BW25113.MD018.none.b1743_KO	0.39666	0.2042	1.17067
C0173	BW25113.MD018.none.b4117_KO	0.39666	0.15	1.16233
C0174	BW25113.MD018.acidic.b4132_KO	0.39666	0.14159	1.23633
C0175	BW25113.MD018.none.b0849_KO	0.39666	0.15	1.14667
C0176	MG1655.MD018.acidic.na_WT	0.39666	0.14159	1.05967
C0177	BW25113.MD018.acidic.b0114_KO	0.39666	0.14328	1.24367
C0178	BW25113.MD018.none.b0898_KO	0.39666	0.18656	1.12167
C0179	BW25113.MD018.none.b4045_KO	0.39666	0.18949	1.26933
C0180	BW25113.MD018.none.b1379_KO	0.39666	0.19538	1.22167
C0181	BW25113.MD018.acidic.b2741_KO	0.39666	0.19327	1.18867
C0182	BW25113.MD018.acidic.b0849_KO	0.39666	0.14076	1.21467
C0183	BW25113.MD018.acidic.b1222_KO	0.39666	0.11849	1.19567
C0184	BW25113.MD018.none.b3510_KO	0.39666	0.18908	1.31233
C0185	MG1655.MD020.none.na_WT	1.45445	0.1811	0.947
C0186	W3110.MD021.none.na_WT	4.89222	0.01134	0.06067
C0187	MG1655.MD024.none.na_WT	2.24777	0.15882	0.57833
C0188	W3110.MD026.none.na_WT	0.92556	0.21387	0.76667
C0189	BW25113.MD026.none.b0836_KO	0.39666	0.24202	0.68267
C0190	BW25113.MD026.none.b1060_KO	0.66111	0.2416	0.83367
C0191	MG1655.MD027.none.na_WT	0.39666	0.14706	1.57967
C0192	W3110.MD028.acidic.na_WT	1.45445	0.10966	1.02467
C0193	W3110.MD028.O2-starvation;alkaline.na_WT	0.39666	0.14328	0.72167
C0194	W3110.MD028.O2-starvation.na_WT	0.39666	0.13361	0.56767
C0195	W3110.MD028.O2-starvation;acidic.na_WT	0.66111	0.16135	0.78867
C0196	W3110.MD028.alkaline.na_WT	0.66111	0.33277	0.99167
C0197	P4X.MD029.none.na_WT	0.39666	0.12688	0.34667
C0198	P4X.MD030.none.na_WT	0.39666	0.11471	0.34033
C0199	MG1655.MD031.none.na_WT	1.19	0.1563	0.606
C0200	MG1655.MD033.none.na_WT	1.71889	0.12731	0.587
C0201	BW25113.MD036.none.na_WT	2.24777	0.09076	0.64333
C0202	MG1655.MD039.none.na_WT	2.51222	0.15504	0.636
C0203	NCM3722.MD043.heat;osmotic.na_WT	0.39666	0.07941	0.34
C0204	NCM3722.MD043.osmotic.na_WT	0.39666	0.09706	0.358
C0205	NCM3722.MD043.none.na_WT	0.39666	0.13487	0.358
C0206	NCM3722.MD043.heat.na_WT	0.39666	0.09202	0.365
C0207	MG1655.MD046.O2-starvation.na_WT	4.62777	0.08067	0.58733
C0208	MG1655.MD046.none.na_WT	1.98334	0.15756	0.72567
C0209	MG1655.MD049.oxidative.na_WT	0.66111	0.09412	0.65133
C0210	MG1655.MD053.O2-starvation.na_WT	1.98334	0.13907	0.797
C0211	MG1655.MD055.copper-limitation.na_WT	0.39666	0.07941	0.69467
C0212	MG1655.MD055.none.na_WT	1.98334	0.19664	0.919
C0213	MG1655.MD057.O2-starvation.na_WT	0.39666	0.1979	0.72667
C0214	MG1655.MD057.O2-starvation.b1334_KO	0.39666	0.16891	0.79933
C0215	MG1655.MD058.O2-starvation.na_WT	0.39666	0.1979	0.72667
C0216	MG1655.MD059.none.na_WT	1.19	0.21303	0.88533
C0217	BW25113.MD061.O2-starvation.b4152_KO	7.27222	0.03655	0.454
C0218	CG2.MD064.none.na_WT	5.68555	0.18529	1.305
C0219	DH5alpha.MD064.none.na_WT	0.39666	0.26597	1.886
C0220	BW25113.MD066.none.b3853_KO	0.66111	0.09076	0.441
C0221	BW25113.MD066.none.b4493_KO	0.39666	0.08824	0.368
C0222	BW25113.MD066.none.pfkA_1_KO	1.71889	0.04664	0.298
C0223	BW25113.MD066.none.pfkA_2_KO	0.39666	0.05672	0.352
C0224	MG1655.MD067.none.na_WT	2.24777	0.14033	0.36467
C0225	MG1655.MD068.none.na_WT	3.04111	0.1021	0.48767
C0226	MG1655.MD070.none.na_WT	13.09	0.04201	0.22933
C0227	MG1655.MD071.none.na_WT	17.58555	0.01134	0.13033
C0228	MG1655.MD072.none.na_WT	27.37	0.04034	0.56333
C0229	MG1655.MD073.none.na_WT	0.66111	0.0958	0.66333
C0230	MG1655.MD075.heat.na_WT	1.19	0.10588	0.799
C0231	DH1.MD077.none.na_WT	4.36334	0.11219	0.557
C0232	DH1.MD078.none.na_WT	7.53667	0.14453	0.621
C0233	MG1655.MD091.none.na_WT	1.71889	0.06681	0.413
C0234	MG1655.MD095.none.na_WT	0.39666	0.05336	0.49433
C0235	MG1655.MD097.O2-starvation.na_WT	2.24777	0.06386	0.31
C0236	MG1655.MD097.Ax.na_WT	1.19	0.10379	0.32567
C0237	MG1655.MD107.none.b0015_KO	0.39666	0.0416	0.33433
C0238	W3110.MD115.none.na_WT	0.92556	0.15294	0.482
C0239	MG1655.MD116.none.na_WT	0.39666	0.39328	1.2963
C0240	MG1655.MD118.O2-starvation.na_WT	0.39666	0.10966	0.38533
C0241	MG1655.MD119.O2-starvation.na_WT	0.39666	0.12479	0.41567
C0242	BW25113.MD001.none.b2065_KO	0.55889	0.09746	0.4835
C0243	BW25113.MD001.none.b1187_KO	0.47333	0.07881	0.61583
C0244	BW25113.MD001.none.b2501_KO	0.81926	0.14407	0.53617
C0245	BW25113.MD001.none.b2060_KO	0.90667	0.07966	0.36583
C0246	BW25113.MD001.none.b2968_KO	0.73185	0.12161	0.5065
C0247	BW25113.MD001.none.b0584_KO	0.90667	0.12881	0.53517
C0248	BW25113.MD001.none.b0342_KO	0.6463	0.0928	0.4115
C0249	BW25113.MD001.none.b0294_KO	-1	0.10	-1
C0250	BW25113.MD001.none.b2662_KO	-1	0.10	-1
C0251	BW25113.MD001.none.b0721_KO	-1	0.11	-1
C0252	BW25113.MD001.none.b1015_KO	-1	0.16	-1
C0253	BW25113.MD001.none.b2039_KO	-1	0.13	-1
C0254	BW25113.MD001.none.b0586_KO	-1	0.14	-1
C0255	BW25113.MD001.none.b3350_KO	-1	0.08	-1
C0256	BW25113.MD001.none.b2422_KO	-1	0.09	-1
C0257	BW25113.MD001.none.b1263_KO	-1	0.06	-1
C0258	BW25113.MD001.none.b0759_KO	-1	0.10	-1
C0259	BW25113.MD001.none.b0114_KO	-1	0.09	-1
C0260	BW25113.MD001.none.b0350_KO	-1	0.11	-1
C0261	BW25113.MD001.none.b1920_KO	-1	0.13	-1
C0262	BW25113.MD001.none.b4386_KO	-1	0.06	-1
C0263	BW25113.MD001.none.b1250_KO	-1	0.04	-1
